date,time,ecg
11/10/2017,10:16:59.822,69
11/10/2017,10:16:59.823,71
11/10/2017,10:16:59.862,65
11/10/2017,10:16:59.916,63
11/10/2017,10:16:59.920,61
11/10/2017,10:16:59.921,57
11/10/2017,10:16:59.962,55
11/10/2017,10:16:59.969,58
11/10/2017,10:17:00.011,59
11/10/2017,10:17:00.059,58
11/10/2017,10:17:00.116,71
11/10/2017,10:17:00.120,36
11/10/2017,10:17:00.121,34
11/10/2017,10:17:00.155,29
11/10/2017,10:17:00.157,25
11/10/2017,10:17:00.206,87
11/10/2017,10:17:00.207,76
11/10/2017,10:17:00.255,9
11/10/2017,10:17:00.259,5
11/10/2017,10:17:00.307,0
11/10/2017,10:17:00.309,253
11/10/2017,10:17:00.364,254
11/10/2017,10:17:00.365,0
11/10/2017,10:17:00.400,6
11/10/2017,10:17:00.452,12
11/10/2017,10:17:00.454,44
11/10/2017,10:17:00.506,230
11/10/2017,10:17:00.508,217
11/10/2017,10:17:00.563,204
11/10/2017,10:17:00.564,202
11/10/2017,10:17:00.598,202
11/10/2017,10:17:00.599,202
11/10/2017,10:17:00.654,209
11/10/2017,10:17:00.656,210
11/10/2017,10:17:00.705,217
11/10/2017,10:17:00.707,216
11/10/2017,10:17:00.743,213
11/10/2017,10:17:00.744,216
11/10/2017,10:17:00.794,221
11/10/2017,10:17:00.795,222
11/10/2017,10:17:00.840,233
11/10/2017,10:17:00.841,240
11/10/2017,10:17:00.893,221
11/10/2017,10:17:00.895,219
11/10/2017,10:17:00.945,220
11/10/2017,10:17:00.948,231
11/10/2017,10:17:00.989,23
11/10/2017,10:17:00.990,197
11/10/2017,10:17:01.038,225
11/10/2017,10:17:01.039,227
11/10/2017,10:17:01.084,232
11/10/2017,10:17:01.085,233
11/10/2017,10:17:01.138,239
11/10/2017,10:17:01.139,241
11/10/2017,10:17:01.183,3
11/10/2017,10:17:01.184,15
11/10/2017,10:17:01.231,38
11/10/2017,10:17:01.233,27
11/10/2017,10:17:01.282,234
11/10/2017,10:17:01.284,228
11/10/2017,10:17:01.341,224
11/10/2017,10:17:01.342,225
11/10/2017,10:17:01.379,233
11/10/2017,10:17:01.383,234
11/10/2017,10:17:01.443,238
11/10/2017,10:17:01.449,240
11/10/2017,10:17:01.478,244
11/10/2017,10:17:01.480,245
11/10/2017,10:17:01.527,245
11/10/2017,10:17:01.535,246
11/10/2017,10:17:01.688,246
11/10/2017,10:17:01.693,239
11/10/2017,10:17:01.698,11
11/10/2017,10:17:01.699,18
11/10/2017,10:17:01.700,251
11/10/2017,10:17:01.701,252
11/10/2017,10:17:01.726,255
11/10/2017,10:17:01.728,18
11/10/2017,10:17:01.765,31
11/10/2017,10:17:01.766,218
11/10/2017,10:17:01.815,2
11/10/2017,10:17:01.817,4
11/10/2017,10:17:01.865,10
11/10/2017,10:17:01.866,11
11/10/2017,10:17:01.928,20
11/10/2017,10:17:01.930,22
11/10/2017,10:17:01.965,43
11/10/2017,10:17:01.966,51
11/10/2017,10:17:02.011,68
11/10/2017,10:17:02.013,61
11/10/2017,10:17:02.059,10
11/10/2017,10:17:02.060,6
11/10/2017,10:17:02.106,0
11/10/2017,10:17:02.107,255
11/10/2017,10:17:02.157,252
11/10/2017,10:17:02.158,251
11/10/2017,10:17:02.222,250
11/10/2017,10:17:02.235,251
11/10/2017,10:17:02.253,254
11/10/2017,10:17:02.254,251
11/10/2017,10:17:02.309,253
11/10/2017,10:17:02.311,249
